Date,Actual,Forecast
2020-06-15,4337,3961.4638269770526
2020-06-16,4470,3968.2538269770525
2020-06-17,4439,3950.3588269770526
2020-06-18,4895,4050.663826977053
2020-06-19,3924,3627.6588269770527
2020-06-20,2827,3074.828826977053
2020-06-21,3481,3319.6988269770527
2020-06-22,4627,3961.163826977053
2020-06-23,4561,3964.6738269770526
2020-06-24,4626,3981.248826977053
2020-06-25,4137,3782.203826977053
2020-06-26,3555,3408.793826977053
2020-06-27,2671,2940.743826977053
2020-06-28,3486,3308.498826977053
2020-06-29,4000,3766.7588269770526
2020-06-30,3828,3686.4688269770527
2020-07-01,3935,3675.7388269770527
2020-07-02,3633,3595.348826977053
2020-07-03,2997,3164.6738269770526
2020-07-04,2194,2719.473826977053
2020-07-05,2948,3086.3038269770527
2020-07-06,4049,3758.598826977053
2020-07-07,3792,3642.5138269770528
2020-07-08,4029,3654.0038269770525
2020-07-09,3945,3624.6138269770527
2020-07-10,3523,3337.1788269770527
2020-07-11,2646,2892.0088269770526
2020-07-12,3454,3295.2738269770525
2020-07-13,3703,3569.7538269770525
2020-07-14,3680,3530.3938269770524
2020-07-15,3479,3409.1988269770527
2020-07-16,3756,3523.473826977053
2020-07-17,3289,3285.248826977053
2020-07-18,2416,2848.0738269770527
2020-07-19,2793,3103.7638269770528
2020-07-20,3749,3504.453826977053
2020-07-21,3786,3532.7988269770526
2020-07-22,4002,3628.3888269770528
2020-07-23,3823,3657.1288269770525
2020-07-24,3430,3361.1588269770527
2020-07-25,2400,2732.9888269770527
2020-07-26,2835,3089.2638269770528
2020-07-27,4001,3672.4388269770525
2020-07-28,3795,3661.2638269770528
2020-07-29,3903,3642.458826977053
2020-07-30,3397,3427.293826977053
2020-07-31,3005,3196.9438269770526
2020-08-01,2305,2735.0738269770527
2020-08-02,2696,2951.253826977053
2020-08-03,3866,3503.373826977053
2020-08-04,3826,3514.348826977053
2020-08-05,3673,3509.9788269770524
2020-08-06,3660,3341.5938269770527
2020-08-07,3136,3184.293826977053
2020-08-08,2223,2676.9888269770527
2020-08-09,2623,2927.168826977053
2020-08-10,3638,3495.4238269770526
2020-08-11,3740,3482.878826977053
2020-08-12,3767,3535.3438269770527
2020-08-13,3621,3473.6588269770527
2020-08-14,2971,3176.6088269770526
2020-08-15,2221,2718.583826977053
2020-08-16,2724,2949.998826977053
2020-08-17,3456,3365.2788269770526
2020-08-18,3581,3420.243826977053
2020-08-19,2064,2635.2188269770527
